;title;link;authors;date;pub_info;result_id;keep_dupl
598;Experimental analysis of task-based energy consumption in cloud computing systems;https://dl.acm.org/doi/abs/10.1145/2479871.2479911;Chen, Feifei, John Grundy, Yun Yang, Jean-Guy Schneider, and Qiang He.;2013;F Chen, J Grundy, Y Yang, JG Schneider… - Proceedings of the 4th …, 2013 - dl.acm.org;6iWz5brz6AoJ;1
913;Experimental Analysis of Task-based Energy Consumption in Cloud Computing Systems;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=11c93be6daf1698a4b0038fb5e0f5baab8df05d3;Grundy, John, Yun Yang, Jean-Guy Schneider, and Qiang He.;2013;J Grundy, Y Yang, JG Schneider, Q He - 2013 - Citeseer;_3RpTi3z4moJ;0
639;Green Computing and Energy Consumption Issues in the Modern Age;https://www.academia.edu/download/33718796/P01269198.pdf;Anwar, Masood, Syed Furqan Qadri, and Ahsan Raza Sattar.;2013;M Anwar, SF Qadri, AR Sattar - IOSR Journal of Computer …, 2013 - academia.edu;KlQINCbAQcIJ;1
752;Green computing and energy consumption issues in the modern age;https://www.academia.edu/download/56942012/IJET-V4I3P107.pdf;Pinto, Sonika Muriel, Vemuri Divya, R. Varsha, and V. Nalina.;2018;SM Pinto, V Divya, R Varsha, V Nalina - International Journal of …, 2018 - academia.edu;DzO782LKEQgJ;1
731;Energy consumption in cloud computing environments;https://su-plus.strathmore.edu/handle/11071/5181;Kenga, Mosoti Derdus, Vincent O. Omwenga O, and Patrick J. Ogao.;2017;MD Kenga, VO Omwenga O, PJ Ogao - 2017 - su-plus.strathmore.edu;3BaTfXDwT10J;0
829;Energy Consumption in Cloud Computing Environments;https://www.academia.edu/download/77187505/Energy_20consumption_20in_20cloud_20computing_20environments.pdf;;;KM Derdus, V Omwenga, P Ogao - 2000 - academia.edu;yavSBfpQhEIJ;0
898;Energy Consumption in Cloud Computing Environments;https://nru.uncst.go.ug/handle/123456789/6545;Mosoti Derdus, Kenga, Vincent Omwenga, and Patrick Ogao.;2017;K Mosoti Derdus, V Omwenga, P Ogao - 2017 - nru.uncst.go.ug;ykz3OilAo8sJ;1
764;Joint optimization of execution latency and energy consumption for mobile edge computing with data compression and task allocation;https://ieeexplore.ieee.org/abstract/document/8921011/;Ly, Minh Hoang, Thinh Quang Dinh, and Ha Hoang Kha.;2019;MH Ly, TQ Dinh, HH Kha - 2019 International Symposium on …, 2019 - ieeexplore.ieee.org;ofqKCWHXmxUJ;1
869;Joint Optimization of Execution Latency and Energy Consumption for Mobile Edge Computing with Data Compression and Task Allocation;https://ui.adsabs.harvard.edu/abs/2019arXiv190912695H/abstract;Hoang Ly, Minh, Thinh Quang Dinh, and Ha Hoang Kha.;2019;M Hoang Ly, T Quang Dinh, H Hoang Kha - arXiv e-prints, 2019 - ui.adsabs.harvard.edu;qeAaLOnbly0J;0
805;Non-liner energy consumption model for cloud computing;https://journal.bupt.edu.cn/EN/abstract/abstract2826.shtml;XIAO, Ding, Ya-pu JIA, and Chuan SHI.;2016;D XIAO, Y JIA, C SHI - Journal of Beijing University of Posts and …, 2016 - journal.bupt.edu.cn;v3utlId0UNYJ;1
843;Non-liner Energy Consumption Model for Cloud Computing;https://journal.bupt.edu.cn/EN/10.13190/j.jbupt.2016.01.020;Ding, Xiao, J. I. A. Ya-pu, and S. H. I. Chuan.;2016;X Ding, JIA Ya-pu, SHI Chuan - Journal of Beijing University of …, 2016 - journal.bupt.edu.cn;eR8fwpw5ZggJ;0
816;A framework for computing power consumption scheduling functions under uncertainty;https://ieeexplore.ieee.org/abstract/document/7436277/;Beaude, Olivier, Achal Agrawal, and Samson Lasaulce.;2015;O Beaude, A Agrawal… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org;tbradKXWBOwJ;1
932;A framework for computing power consumption scheduling functions under uncertainty;https://www.researchgate.net/profile/Olivier-Beaude/publication/304416556_A_framework_for_computing_power_consumption_scheduling_functions_under_uncertainty/links/573c3fec08ae298602e55196/A-framework-for-computing-power-consumption-scheduling-functions-under-uncertainty.pdf;Agrawal, Achal, Olivier Beaude, and Samson Lasaulce.;2015;A Agrawal, O Beaude, S Lasaulce - IEEE Smart Grid …, 2015 - researchgate.net;q0ICEFqlZFwJ;0
852;A novel soft computing approach based on FIR to model and predict energy dynamic systems;https://upcommons.upc.edu/handle/2117/375588;Jurado Gómez, Sergio.;2020;S Jurado Gómez - 2020 - upcommons.upc.edu;fi4bOYus1xMJ;0
893;A novel soft computing approach based on fir to model and predict energy dynamic systems;https://dialnet.unirioja.es/servlet/tesis?codigo=297627;Gómez, Sergio Jurado.;2020;SJ Gómez - 2020 - dialnet.unirioja.es;E3zX7JXOrcwJ;1
906;An algorithm for minimizing energy consumption with reliability goal on multiple processors in a cloud computing environment;https://jscit.nit.ac.ir/index.php/index/article_84983.html?lang=en;Safari Habibabadi, Monire, Reihaneh Khorsand, and Mohammadreza Ramezanpour.;2019;M Safari Habibabadi, R Khorsand… - … of Soft Computing and …, 2019 - jscit.nit.ac.ir;v1NUDnw3CaIJ;1
936;An algorithm for minimizing energy consumption with reliability goal on multiple processors in a cloud computing environment;https://jscit.nit.ac.ir/index.php/jscit/issue/article_84983_af53cabb8cb5ecbe3af6cbef4f674638.pdf?lang=en;Abadi, Monireh Safari Habib, Reihaneh Khorsand Motlagh Esfahani, and Mohammadreza Ramezanpour.;;MSH Abadi, RKM Esfahani, M Ramezanpour - jscit.nit.ac.ir;XsElx0BY-BYJ;0
992;Non-intrusive load monitoring (NILM) for energy disaggregation using soft computing techniques;https://www.mdpi.com/744774;Puente, Cristina, Rafael Palacios, Yolanda González-Arechavala, and Eugenio Francisco Sánchez-Úbeda.;2020;C Puente, R Palacios, Y González-Arechavala… - Energies, 2020 - mdpi.com;pT9_fA59IVcJ;1
1026;Non-intrusive load monitoring (NILM) for energy disaggregation using soft computing techniques;https://repositorio.comillas.edu/xmlui/handle/11531/56107;Puente Águeda, Cristina, Rafael Palacios Hielscher, Yolanda González Arechavala, and Eugenio Francisco Sánchez Ubeda.;2020;C Puente Águeda, R Palacios Hielscher… - 2020 - repositorio.comillas.edu;GKn32rgjf78J;0
1103;Precise Energy Consumption Measurements of Heterogeneous Artificial Intelligence Workloads;https://link.springer.com/chapter/10.1007/978-3-031-23220-6_8;;;R Caspart, S Ziegler, A Weyrauch, H Obermaier… - … Computing. ISC High …, 2023 - Springer;r2_rghI1tTsJ;1
1118;Precise Energy Consumption Measurements of Heterogeneous Artificial Intelligence Workloads;https://books.google.com/books?hl=en&lr=&id=PWClEAAAQBAJ&oi=fnd&pg=PA108&dq=(%22artificial+intelligence%22)+%2B+(consumed%7Cconsumption%7Cpredict)+%2B+(energy%7Cpower%7C%22environmental+impact%22%7C%22carbon+footprint%22%7C%22carbon+emissions%22%7C%22carbon+impact%22)+-wind+-building+-buildings+-vehicles+-homes+-ships+-solar+-photovoltaic+-vehicle&ots=PrCEjWtDlJ&sig=SsxTnXIBSzK65GqKd6J_mMKclb8;;;S Raffeiner, LP Schuhmacher, J Scholtyssek… - books.google.com;em3pBr-aS6cJ;0
1108;Understanding the Energy Consumption of HPC Scale Artificial Intelligence;https://arxiv.org/abs/2212.00582;Santos, Danilo Carastan dos.;2022;DC Santos - arXiv preprint arXiv:2212.00582, 2022 - arxiv.org;ri2ft8tu2qwJ;0
1110;Understanding the Energy Consumption of HPC Scale Artificial Intelligence;https://link.springer.com/chapter/10.1007/978-3-031-23821-5_10;Carastan-Santos, Danilo, and Thi Hoang Thi Pham.;2022;D Carastan-Santos, THT Pham - … 2022, Porto Alegre, Brazil, September 26 …, 2022 - Springer;cjrIW9EAy0wJ;1
1116;Understanding the Energy Consumption of HPC Scale Artificial Intelligence;https://hal.inria.fr/hal-03845090/;;;DC dos Santos - Latin America High Performance Computing …, 2022 - hal.inria.fr;ciKCVGi31HkJ;0
1155;Estimating the Power Consumption of Heterogeneous Devices when performing AI Inference;https://arxiv.org/abs/2207.06150;Machado, Pedro, Ivica Matic, Francisco de Lemos, Isibor Kennedy Ihianle, and David Ada Adama.;2022;P Machado, I Matic, F de Lemos, IK Ihianle… - arXiv preprint arXiv …, 2022 - arxiv.org;XHc0KbYJrHEJ;1
1160;Estimating the Power Consumption of Heterogeneous Devices When Performing Ai Inference;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4198805;Matic, Ivica, Francisco de Lemos, Dr Isibor Kennedy Ihianle, Dr David Ada Adama, and Pedro Machado.;;I Matic, F de Lemos, DIK Ihianle, DDA Adama… - Available at SSRN … - papers.ssrn.com;fMVDbA7aQB8J;0
1187;A deep neural network for simultaneous estimation of b jet energy and resolution;https://link.springer.com/article/10.1007/s41781-020-00041-z;Sirunyan, Albert M., Armen Tumasyan, Wolfgang Adam, Federico Ambrogi, Thomas Bergauer, Marko Dragicevic, Janos Erö et al.;2020;AM Sirunyan, A Tumasyan, W Adam, F Ambrogi… - Computing and software …, 2020 - Springer;AZvSfqgysK4J;1
1228;A Deep Neural Network for Simultaneous Estimation of b Jet Energy and Resolution;https://cris.unibo.it/bitstream/11585/803237/2/s41781-020-00041-z.pdf;Sirunyan, A. M., A. Tumasyan, W. Adam, F. Ambrogi, T. Bergauer, M. Dragicevic, J. Erö et al.;2020;CMS Collaboration193 - 2020 - cris.unibo.it;tYJR7qst0tIJ;0
1233;A Deep Neural Network for Simultaneous Estimation of b Jet Energy and Resolution;https://elib.bsu.by/handle/123456789/288248;CMS Collaboration.;2020;CMS Collaboration - 2020 - elib.bsu.by;lbuGP3MLP88J;0
1198;Neural network macromodel for high-level power estimation of cmos circuits;https://ieeexplore.ieee.org/abstract/document/1614789/;Gao, Xun, Yuanyuan Yan, Yang Cao, and Wei Qiang.;2005;X Gao, Y Yan, Y Cao, W Qiang - 2005 International Conference …, 2005 - ieeexplore.ieee.org;TZEMeQr31-IJ;1
1235;Neural Network Macromodel for High-Level Power Estimation of CMOS Circuits;https://www.infona.pl/resource/bwmeta1.element.ieee-art-000001614789;Qiang, Wei, Yang Cao, Yuanyuan Yan, and Xun Gao.;;W Qiang, Y Cao, Y Yan, X Gao - … Conference on Neural Networks and Brain - infona.pl;g-OcMEW_R2AJ;0
1202;Artificial neural network based cost estimation of power losses in electricity distribution system;https://ieeexplore.ieee.org/abstract/document/9815721/;Gören, Gökhan, Burak Dindar, and Ömer Gül.;2022;G Gören, B Dindar, Ö Gül - 2022 4th Global Power, Energy and …, 2022 - ieeexplore.ieee.org;AC05l0W271AJ;1
1240;Artificial Neural Network based Cost Estimation of Power Losses in Electricity Distribution System;https://avesis.itu.edu.tr/yayin/6c9255fd-5431-4014-bc8a-04959727758b/artificial-neural-network-based-cost-estimation-of-power-losses-in-electricity-distribution-system;Goren, Gokhan, Burak Dindar, and Ömer Gül.;;G Goren, B Dindar, Ö Gül - avesis.itu.edu.tr;taayq-er8D4J;0
1237;Robustness of a Neural Network Model for Power Peak Factor Estimation in Protection Systems;https://www.osti.gov/biblio/20995648;Moreira, Joao ML.;2006;JML Moreira - 2006 - osti.gov;WcOaium-RCgJ;0
1239;Robustness of a Neural Network Model for Power Peak Factor Estimation in Protection Systems;https://asmedigitalcollection.asme.org/ICONE/proceedings-abstract/ICONE14/285/315733;Souza, Rose Mary GP, and Joa˜ O. ML Moreira.;2006;RMGP Souza, JML Moreira - International …, 2006 - asmedigitalcollection.asme.org;l3aZ-hMRwZAJ;1
1333;Development of Neural Network Prediction Models for the Energy Producibility of a Parabolic Dish: A Comparison with the Analytical Approach;https://search.proquest.com/openview/684490ad6e8fcda57870f1ac38424e49/1?pq-origsite=gscholar&cbl=2032402;;;VL Brano, S Guarino, A Buscemi, M Bonomolo - Energies, 2022 - search.proquest.com;WTwomfmVZs4J;0
1367;Development of Neural Network Prediction Models for the Energy Producibility of a Parabolic Dish: A Comparison with the Analytical Approach;https://www.mdpi.com/article/10.3390/en15249298;Lo Brano, Valerio, Stefania Guarino, Alessandro Buscemi, and Marina Bonomolo.;2022;V Lo Brano, S Guarino, A Buscemi, M Bonomolo - Energies, 2022 - mdpi.com;OWlnuhd1A7QJ;1
1357;Prediction of power losses in transformer cores using feed forward neural network and genetic algorithm;https://www.sciencedirect.com/science/article/pii/S0263224106000212;Kucuk, Ilker, and Naim Derebasi.;2006;I Kucuk, N Derebasi - Measurement, 2006 - Elsevier;nkvNM1IjrdsJ;1
1523;Prediction of power losses in transformer cores using feed forward neural network and genetic algorithm;https://acikerisim.uludag.edu.tr/handle/11452/22837;Küçük, İlker, and Naim Derebaşı.;2006;İ Küçük, N Derebaşı - 2006 - acikerisim.uludag.edu.tr;vDtyjoRPaiYJ;0
1358;A power-aware hybrid cache for chip-multi processors based on neural network prediction technique;https://search.proquest.com/openview/8134b629274463dd70809b4218794822/1?pq-origsite=gscholar&cbl=48389;Furat, Al-Obaidy, Asad Arghavan, and Farah A. Mohammadi.;2021;AO Furat, A Arghavan… - International Journal of …, 2021 - search.proquest.com;x2UwashDnREJ;0
1369;A Power-Aware Hybrid Cache for Chip-Multi Processors Based on Neural Network Prediction Technique;https://link.springer.com/article/10.1007/s10766-021-00691-5;Al-Obaidy, Furat, Arghavan Asad, and Farah A. Mohammadi.;2021;F Al-Obaidy, A Asad, FA Mohammadi - International Journal of Parallel …, 2021 - Springer;1rqN1O5UBnwJ;1
1626;Estimation of the Ageing of Metallic Layers in Power Semiconductor Modules Using the Eddy Current Method and Artificial Neural Networks;https://www.jpier.org/issues/volume.html?paper=14091602;;;T Anh, N Pierre, Y Joubert, S Lefebvre - jpier.org;nv5-axOrD4IJ;0
1628;Estimation of the Ageing of Metallic Layers in Power Semiconductor Modules Using the Eddy Current Method and Artificial Neural Networks;https://www.jpier.org/PIERM/pier.php?paper=14091602;Nguyen, Tien Anh, Pierre-Yves Joubert, and Stéphane Lefebvre.;2014;TA Nguyen, PY Joubert, S Lefebvre - Progress In Electromagnetics …, 2014 - jpier.org;oqQh4ItHSgUJ;1
